profile_id,profile_version,node_code,parent_node_code,node_stage,node_kind,min_score,max_score,evaluation_scope,implementation_status,exclusive_group,branch_required,source_id
clingen.svcv4.public-draft,2026-07-10,POP_FRQ,POP_PRIMARY,0,method,-6,0,case_independent,implemented,,false,svcv4-model-hod-workflows
clingen.svcv4.public-draft,2026-07-10,POP_HMZ,POP_PRIMARY,0,method,-4,0,case_independent,specified_not_implemented,,false,svcv4-model-hod-workflows
clingen.svcv4.public-draft,2026-07-10,CLN_UAF,CLN_PRIMARY,0,method,,0,case_conditioned,specified_not_implemented,,false,svcv4-model-hod-workflows
clingen.svcv4.public-draft,2026-07-10,CLN_ALT,CLN_PRIMARY,0,method,,0,case_conditioned,specified_not_implemented,,false,svcv4-model-hod-workflows
clingen.svcv4.public-draft,2026-07-10,CLN_AFF,CLN_PRIMARY,0,method,0,,case_conditioned,specified_not_implemented,,false,svcv4-model-hod-workflows
clingen.svcv4.public-draft,2026-07-10,CLN_DNV,CLN_PRIMARY,0,method,0,12,case_conditioned,specified_not_implemented,,false,svcv4-model-hod-workflows
clingen.svcv4.public-draft,2026-07-10,CLN_CCS,CLN_PRIMARY,0,method,,,case_conditioned,underspecified,,false,svcv4-model-hod-workflows
clingen.svcv4.public-draft,2026-07-10,LOC_PHE,LOC_PRIMARY,0,method,0,4,case_conditioned,specified_not_implemented,,false,svcv4-model-hod-workflows
clingen.svcv4.public-draft,2026-07-10,LOC_SEG,LOC_PRIMARY,0,method,0,4,case_conditioned,specified_not_implemented,,false,svcv4-model-hod-workflows
clingen.svcv4.public-draft,2026-07-10,MIS_PRD,MIS_PF,0,method,-4,4,case_independent,specified_not_implemented,impact_path,true,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,MIS_FXN,MIS_PF,0,method,-8,8,case_independent,specified_not_implemented,impact_path,true,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,MIS_INF,MIS_INF_EVIDENCE,0,method,-8,8,case_independent,specified_not_implemented,impact_path,true,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,CDS_PRD,CDS_PF,0,method,-4,6,case_independent,specified_not_implemented,impact_path,true,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,CDS_FXN,CDS_PF,0,method,-8,8,case_independent,specified_not_implemented,impact_path,true,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,CDS_INF,CDS_INF_EVIDENCE,0,method,-8,8,case_independent,specified_not_implemented,impact_path,true,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,NUL_PRD,NUL_PF,0,method,0,10,case_independent,specified_not_implemented,impact_path,true,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,NUL_FXN,NUL_PF,0,method,-8,8,case_independent,specified_not_implemented,impact_path,true,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,NUL_INF,NUL_INF_EVIDENCE,0,method,-8,8,case_independent,specified_not_implemented,impact_path,true,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,SPL_PRD,SPL_PREDICTIVE,0,method,-1,6,case_independent,specified_not_implemented,impact_path,true,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,SPL_SPA,SPL_PREDICTIVE,0,method,-6,0,case_independent,specified_not_implemented,impact_path,true,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,SPL_FXN,SPL_FXN_EVIDENCE,0,method,-8,8,case_independent,specified_not_implemented,impact_path,true,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,SPL_INF,SPL_INF_EVIDENCE,0,method,-8,8,case_independent,specified_not_implemented,impact_path,true,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,POP_PRIMARY,POP_ROLLUP,1,intermediate,-10,0,mixed,aggregation,,false,svcv4-model-hod-workflows
clingen.svcv4.public-draft,2026-07-10,CLN_PRIMARY,CLN_ROLLUP,1,intermediate,,,mixed,aggregation,,false,svcv4-model-hod-workflows
clingen.svcv4.public-draft,2026-07-10,LOC_PRIMARY,LOC_ROLLUP,1,intermediate,0,4,mixed,aggregation,,false,svcv4-model-hod-workflows
clingen.svcv4.public-draft,2026-07-10,MIS_PF,MIS_ROLLUP,1,intermediate,-8,6,mixed,aggregation,,false,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,MIS_INF_EVIDENCE,MIS_ROLLUP,1,intermediate,-8,8,mixed,aggregation,,false,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,CDS_PF,CDS_ROLLUP,1,intermediate,-8,9,mixed,aggregation,,false,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,CDS_INF_EVIDENCE,CDS_ROLLUP,1,intermediate,-8,8,mixed,aggregation,,false,svcv4-model-pfd-workflows
